mail,id_prod,id_cmd,note,avis
egestas@sodales.ca,1444,102,10,Un des meilleurs de ces 20 dernières années
egestas@sodales.ca,1610,102,1,Beaucoup trop cher
ullamcorper.viverra.Maecenas@milacinia.com,1100,115,10,Un régal de retrouver notre ogre préféré sur console ! Idéal pour des soirées romantiques
ullamcorper.viverra.Maecenas@milacinia.com,3005,115,6,"Peut faire office de set de table mis à plat, bien sans plus"
est@atpretium.com,3001,114,8,
est@atpretium.com,3002,114,4,
est@atpretium.com,3003,114,9,
est@atpretium.com,3004,114,3,
est@atpretium.com,3005,114,4,
est@atpretium.com,3006,114,5,
est@atpretium.com,3007,114,3,
est@atpretium.com,3008,114,5,
est@atpretium.com,3009,114,9,
est@atpretium.com,3010,114,1,
